id,timestamp_utc,anon_user_id,phase,post_type,target_event_id,target_anon_user_id,emotion_gemma_4_31b,emotion_gpt_5,emotion_gpt_5_4,human_emotion_labels,human_emotion_modal,institution_type_gpt5mini,institution_type_final,manual_reporting_status,manual_first_person,manual_motive_codes,manual_motive_parent_categories
e_df122abe42fc4af7a162aa416396243d,2022-01-13T02:34Z,u_7b013f897ebd473faeb014c1eaaf5c14,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_55c8324ae5ae4f0096544e1f33064dd2,2022-01-13T01:53Z,u_3364049008c648d7910ecb29dd514bc8,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_3d8e9844431e4e98915bd17a0a606c35,2022-01-13T02:05Z,u_b296b93d048a429a9f7acf4df6fa693a,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_25d00894db3349e68739466153d92f7b,2022-01-13T01:31Z,u_ae6c56051c954ad5b66c4d3b2311e8ac,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_b1e606fb016c4086b3e42c0659df10c2,2022-01-13T01:03Z,u_8d8ab106dfe9487d8682e0ee9e3e1b04,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_155dc90f2ffa4e268df6efacee90464b,2022-01-13T01:13Z,u_eb977aaf579f4c968dc39a36dd8f0874,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_db4a00a556844f1eb95a8ceeec1c3ce2,2022-01-13T00:53Z,u_c9f284ce8b19440da71d421e22467587,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_527fc50544644c86bd14ec0eea0969fb,2022-01-12T23:46Z,u_2f11946d853b499cb523a533cfe1d030,phase_6,post,,,joy,,,[],,unknown,personal,,false,[],[]
e_eeb2924de4de4f5a87c19dbb6218a2ad,2022-01-12T23:40Z,u_daf6b91e756b4426ad616704acf456e7,phase_6,post,,,disgust,,,[],,personal,personal,,false,[],[]
e_004a0f4c1c0a4acd81de60db0da609e6,2022-01-12T23:39Z,u_daf6b91e756b4426ad616704acf456e7,phase_6,reply,e_f5fdc714afe343148f1a020aac3ecd14,u_6a97928d6176485faf8630e6bd8d5e7d,neutral,,,[],,personal,personal,,false,[],[]
e_25ba3361a3f54ab69f65e00ee1151c3c,2022-01-12T23:16Z,u_101b72a304e048ada3b1ec231b5c43f7,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_cff716c713fb4618b5bbd532771430e3,2022-01-12T22:58Z,u_a6f7c7b0016649b38a5a7bfa149de3ec,phase_6,reply,e_f87ace8ac68e489f94f0749626e29d12,u_0f7e28f98da44f82859f686b03a67d6d,anger,,,[],,personal,personal,,false,[],[]
e_ada024dc59f44ea7ab3c62aa9a0f674f,2022-01-12T22:48Z,u_a6f7c7b0016649b38a5a7bfa149de3ec,phase_6,reply,e_d09cc8baf73e49f4b5879647a483f593,u_13fcf03d449644748d346bf8272a018a,disgust,,,[],,personal,personal,,false,[],[]
e_e05ebcd62bae4c118ca94f3b5c2ef353,2022-01-12T22:48Z,u_a6f7c7b0016649b38a5a7bfa149de3ec,phase_6,reply,e_8846052aad2a427f93b8e82f7302c450,u_1b7c245b383a49b9a09d00a7194b86c2,anger,,,[],,personal,personal,,false,[],[]
e_7237bf960a89434eba5712f3fb2480ca,2022-01-12T22:35Z,u_e741d46a3ac2490eb2b6601ff43852a6,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_e49f57ea94ef417bbf7d982ac4dc6f35,2022-01-12T22:02Z,u_c93a6eee835a42078b9cc6eec223de7b,phase_6,reply,e_077c8d0df6114cd0b9eeed2bbfdfd1cb,u_a337510b85aa4868bfa27a8c36885136,anger,,,[],,personal,personal,,false,[],[]
e_c88928a3a91047ca82692e2644a886ca,2022-01-12T21:46Z,u_6dae35bfd01b42f983eed2f11208257a,phase_6,retweet,e_192b151a58ed4719b57201b529c399a2,u_4f96d0cfa6f44faab72908030b63331d,disgust,,,[],,unknown,personal,,,[],[]
e_7f149cbbca7b43d8bdd0a8874cb984b3,2022-01-12T21:36Z,u_6ed29af6c04b48b2842a19b13214edc4,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_ddb379e404fb45d6a99a88ae9e998632,2022-01-12T21:46Z,u_5bf52c8aadfc4f85b7ccaa2d1a1ce051,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_4a13f4ff85014c88b4c6d53c0b824741,2022-01-12T21:19Z,u_1d8adb7cd842416994c8ef71eda5fb74,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_92ba4d0fbc194eb08a4d5d58c8577676,2022-01-12T21:33Z,u_fe893b3d48db430e9a67e71aff91b1b7,phase_6,retweet,e_337006f735924d4cb557546b976334c6,u_b04c468d064440a8ac099b49ead43d6b,neutral,,,[],,personal,personal,,,[],[]
e_337006f735924d4cb557546b976334c6,2022-01-12T21:20Z,u_b04c468d064440a8ac099b49ead43d6b,phase_6,reply,e_a23a3aa1aee44b71b6f3d6a3132d9701,u_fe893b3d48db430e9a67e71aff91b1b7,neutral,,,[],,personal,personal,,,[],[]
e_1b4183a52eac417981f063c9a664dcdd,2022-01-12T21:16Z,u_a4fa25a9ab5e44ebb94dafb8eeaed38e,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_c2ea07741d8b44d29490ab29c228e436,2022-01-12T21:09Z,u_c224557474e74fdba29c7f5c41d80fa8,phase_6,post,,,sadness,,,[],,personal,personal,,,[],[]
e_9e6db05cf0ff4e47b1ad7fbb9baaaf43,2022-01-12T21:02Z,u_22b24965b4cc4d249f3bc5b405af5eb1,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_fd8b031e4b94496badf49db31ffcbec4,2022-01-12T20:52Z,u_b58c0c6a960e4db493fdefc4eaa223a5,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_babe994ce562476fb000a7ca701b0e03,2022-01-12T20:38Z,u_74df29beed0448ceba9cd73665cbf7a1,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_ec7ab9528117482fbd2f54131d3c85d1,2022-01-12T20:27Z,u_6673fee9bfef41aead119ec5ce28c8e0,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_95e5b1b30a42441f8379b73c530304a2,2022-01-12T20:17Z,u_91950e8846d049a6a03111c1b5a59990,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_b163817d6dab49ffb504c584f6f4f2a5,2022-01-12T19:54Z,u_e88391be1e6b494680903f812223730a,phase_6,retweet,e_192b151a58ed4719b57201b529c399a2,u_4f96d0cfa6f44faab72908030b63331d,disgust,,,[],,personal,personal,,,[],[]
e_90a90d6eea194ce28195d74323534044,2022-01-12T19:46Z,u_ed56e07f777d4425b9fff69fb216578d,phase_6,post,,,neutral,,,[],,personal,personal,,false,[],[]
e_4477122c9185460691dce3eb9ba09067,2022-01-12T19:51Z,u_7e0b7ab41e1f4be1b6f4ca9eec72b043,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_9eb1daa065224911bbe0a7c10319436a,2022-01-12T19:26Z,u_8fedb848485f45ed94a837ef54109070,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_5ea3adc2bbc04f9c8342bd6cab330d29,2022-01-12T19:01Z,u_53ca3a2795024cab913a0c0a0b5e397a,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_6f8a70da48dd45b3a1066ee37e7b4058,2022-01-12T18:55Z,u_858d2faad4e74a3bb537aee33534213e,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_0658146e2d364054bc4e22f2073993dc,2022-01-12T18:45Z,u_5c9e76613a54441290a1d1c8f7b32934,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,unknown,personal,,,[],[]
e_aaa391f06bb64da2b010a6b8cb5a6384,2022-01-12T18:11Z,u_d1665653eeeb454496b12007401298a5,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_f06d9a5c0c8649809e3532a07ab33d34,2022-01-12T18:35Z,u_af30b234055d45c78ba512b81fae734e,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_83231b7172e64f67a7c8a2c6b103f670,2022-01-12T18:07Z,u_ae9d1dc8c4414650b8c8ed4fe9e5afc7,phase_6,retweet,e_192b151a58ed4719b57201b529c399a2,u_4f96d0cfa6f44faab72908030b63331d,disgust,,,[],,unknown,ngo,,,[],[]
e_c19aaa02d0764fa4ba1ce43ef44a3b52,2022-01-12T18:14Z,u_520009d031d34bc79d589acdd8a4a9cb,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_bc28feb91f0243f98f1e2e8c127236d5,2022-01-12T18:00Z,u_de9a4e749dc44578883d23f0dcf0e331,phase_6,retweet,e_2cbb3db794c4407c9538ce4f1659be3e,u_c7f5666458404b82951c240dd34b5353,trust,,,[],,personal,personal,,,[],[]
e_19c06476894d4850a0ed35b0881e0969,2022-01-12T17:39Z,u_0024677cf6b44c0ab53989c98afed699,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_831c934f2acc45579b8c207afaa0734e,2022-01-12T17:16Z,u_47eb3dc3c32b491cab077d77c3fb6484,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_9eba77dddf7246e083776569e0f6e3bd,2022-01-12T16:36Z,u_0c8a719017064b4b96c5edc0b856d716,phase_6,post,,,anticipation,,,[],,personal,personal,,false,[],[]
e_1bf972d08f574a1fbf95932dfc42a75e,2022-01-12T16:54Z,u_36a48ff5ef474cf1bab0072603e20c28,phase_6,reply,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,disgust,,,[],,personal,personal,,false,[],[]
e_1d24fd0d85e74a46ab8e0abe18ea5f87,2022-01-12T16:45Z,u_ae9d1dc8c4414650b8c8ed4fe9e5afc7,phase_6,post,,,anger,,,[],,unknown,ngo,,false,[],[]
e_775d99cbc25a4e0ea9070278d359967d,2022-01-12T16:26Z,u_7eee29f84cb44a668b9b34dd1edafba1,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_1d2b94334b674c0598ef04dd6d5a0582,2022-01-12T16:07Z,u_26ba6d3d14b741ea886919a3305d18fd,phase_6,retweet,e_9e8770f7bb064fda8253b9e5f708477e,u_3448b771de9d4e4c8d9df6bd176e113b,neutral,,,[],,personal,personal,,,[],[]
e_dba18e5c25f4436da32f5d8e02c69abb,2022-01-12T15:43Z,u_bffa7b2271b54866b01e889c8615a521,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_dd3b42b81fb64b6b9d549b8b97fe00f8,2022-01-12T15:39Z,u_1ec0d4cb25344712b0234ae7dd536781,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,unknown,personal,,,[],[]
e_c8e4b33d7bd549bab15668923b1b270e,2022-01-12T15:46Z,u_d767e268ee8746dba48d81b7a43f7dc5,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_9f592f1ad98a41999e409ba964c157ed,2022-01-12T15:46Z,u_b461bb5e49624b14ad1e7ef9977d5df9,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,unknown,personal,,,[],[]
e_6ce62492b82c484db283e3c695fbd9e3,2022-01-12T15:25Z,u_008c7504c7324975b0280c3ef64da54a,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_4a4ec0b119d545a9bc5aed0cf0d2d349,2022-01-12T15:31Z,u_0824808b8eb9427fb180f7722281afb7,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,unknown,personal,,,[],[]
e_192b151a58ed4719b57201b529c399a2,2022-01-12T15:18Z,u_4f96d0cfa6f44faab72908030b63331d,phase_6,post,,,disgust,,,[],,personal,personal,,false,[],[]
e_68e69f70d243445c892ea4a9acfa0d70,2022-01-12T15:22Z,u_8736a12f2f6e4ef793cc0f68479d883e,phase_6,retweet,e_9e8770f7bb064fda8253b9e5f708477e,u_3448b771de9d4e4c8d9df6bd176e113b,neutral,,,[],,personal,personal,,,[],[]
e_4583e32c4c0941838868b0147b515554,2022-01-12T15:09Z,u_5fc08f4ac68c495abadf23ab387d89d2,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_e921dcc64c484156a1e51e4fc3d13e13,2022-01-12T15:15Z,u_57e6265ac8234d4b8612bbca1e5a1fe9,phase_6,retweet,e_6b0a2c6563424e118a64419b6b43a625,u_be6494093d024182bf7675b377a17af2,anger,,,[],,personal,personal,,,[],[]
e_cb492b9b5c6d493c9cbc440f86923960,2022-01-12T15:03Z,u_01012e4b3cc04cc2912bfa91468eab48,phase_6,retweet,e_9e8770f7bb064fda8253b9e5f708477e,u_3448b771de9d4e4c8d9df6bd176e113b,neutral,,,[],,personal,personal,,,[],[]
e_9e8770f7bb064fda8253b9e5f708477e,2022-01-12T15:17Z,u_3448b771de9d4e4c8d9df6bd176e113b,phase_6,post,,,neutral,,,[],,personal,personal,,false,[],[]
e_b0fedfa726ff463e9ed1e7a172920f13,2022-01-12T15:10Z,u_4818cb19493947ee88a40d67e962dcbc,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_6fa0b8d39af84c3b8583749ef0692c2b,2022-01-12T14:56Z,u_b05be59fd470423685d8b42ff4d5c9e8,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_23e87890791e42b0852ee4b35affdb9b,2022-01-12T14:58Z,u_929288f2eafd4578b024ae6e24ad7fae,phase_6,retweet,e_c4b79d6785ad475eb389d9e9a543a744,u_10bcca1e0f9645bbbcbec6874d2cabc2,sadness,,,[],,personal,personal,,,[],[]
e_24c9d8a71f164dbdbd2aae7b23398b12,2022-01-12T14:48Z,u_2a4f6e3170e54ee893bdbd1eabf7d0f7,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_3984a03fb3194a82a202953d0fe8cbf2,2022-01-12T14:38Z,u_d155844fdbb54b938bac84247f315d2e,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_c0d34609fe3e4c6ab292c12024d531fe,2022-01-12T14:24Z,u_1a83f88d105e47199f0f1e5d2e470de5,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_5f46f6fdcd6b43188726cad89d9d223a,2022-01-12T14:19Z,u_1f6e7d7da7234a7da581e22fd794a9d2,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_a5f684a1bf134eba946dfe3e4f8765f2,2022-01-12T14:26Z,u_affe064abee94eafbb8a8d0be6757ab6,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_8d05e4415052440aa3536f6b9b4aabf1,2022-01-12T14:00Z,u_fc5629a6263c4d3ebc4903f427c90d2c,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_69d63780e1254fe1ba99e44aa7de56a9,2022-01-12T14:01Z,u_3ebdc4c5603e4a4dbc98ecff3756b1be,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_b2ac2f97824a49539f40baf04d884bbf,2022-01-12T13:48Z,u_21b990d97fcc46b8b0004d6b80d0b278,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_f1b120a5b3a8494c9b64ddf7ee6d071c,2022-01-12T13:24Z,u_698ca5a4991f40b988552614796bac2a,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_c6a97489ef83470882244f83767bbc03,2022-01-12T13:19Z,u_42796065327043b0b7898ab0cb3a7305,phase_6,retweet,e_a7f0cc6049004e2585de2564ca2b1e2d,u_4580bb5dba7a45b080ecafb15e5d0ed0,anger,,,[],,personal,personal,,,[],[]
e_a7f0cc6049004e2585de2564ca2b1e2d,2022-01-12T13:21Z,u_4580bb5dba7a45b080ecafb15e5d0ed0,phase_6,post,,,anger,,,[],,personal,personal,,false,[],[]
e_5b5fbf4985634a05b65889f6074a23f3,2022-01-12T12:42Z,u_f21fcdf936f145a8845968dcfb88a31d,phase_6,retweet,e_c9c38371b2a447199acb7b8270f11140,u_1866240c67ab430fae0f83572f733da2,disgust,,,[],,personal,personal,,,[],[]
e_c9c38371b2a447199acb7b8270f11140,2022-01-12T12:55Z,u_1866240c67ab430fae0f83572f733da2,phase_6,post,,,disgust,,,[],,political,political,,false,[],[]
e_e1f34fa8abdf4fd4af098d916d06825d,2022-01-12T12:42Z,u_b6ce1d878cff45a39c6ac534ca13f34b,phase_6,retweet,e_d4099e062bef4d00a412e8b80a72ed8d,u_1866240c67ab430fae0f83572f733da2,trust,,,[],,personal,personal,,,[],[]
e_f305585e45374a5abf530ba83c2020c7,2022-01-12T12:53Z,u_92c6555c6fc244fd8caf2bb13dfb825f,phase_6,reply,e_221dba110cf145218ca623a06f054faa,u_2efbbe6e290b45f2b6acf3fc6abbab09,anger,,,[],,personal,personal,,false,[],[]
e_6eba38cdcdf64fa68e2f587ce55df57d,2022-01-12T12:28Z,u_715755bec7544c1ba5a8b5de07780b3d,phase_6,retweet,e_d4099e062bef4d00a412e8b80a72ed8d,u_1866240c67ab430fae0f83572f733da2,trust,,,[],,personal,personal,,,[],[]
e_33e4be8aaf394797b641c841a8cd764f,2022-01-12T12:44Z,u_1866240c67ab430fae0f83572f733da2,phase_6,retweet,e_2cbb3db794c4407c9538ce4f1659be3e,u_c7f5666458404b82951c240dd34b5353,trust,,,[],,political,political,,,[],[]
e_2cbb3db794c4407c9538ce4f1659be3e,2022-01-12T12:53Z,u_c7f5666458404b82951c240dd34b5353,phase_6,post,,,trust,,,[],,personal,personal,,false,[],[]
e_d4099e062bef4d00a412e8b80a72ed8d,2022-01-12T12:36Z,u_1866240c67ab430fae0f83572f733da2,phase_6,post,,,trust,,,[],,political,political,,false,[],[]
e_a0a04c465fea4f558286329d16974e7e,2022-01-12T12:03Z,u_50b5aa60a3ef42ccad50dfa95cfe5ba5,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_682e362ffc6c4ef79b7a51210fbe8c76,2022-01-12T12:16Z,u_f6867f37a86c48aea2586541021f0369,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_01fb55f84c674a3181e6c8071ee24834,2022-01-12T11:20Z,u_3d0bf0ba932c4dd28bfab970188a7d5f,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_a464f86324b44b6680ef17c35703d22e,2022-01-12T11:10Z,u_ea338bf4bf43447087c790e0f02cf4b6,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_786d29688c1c4a9ea62b3c6466b56d90,2022-01-12T09:38Z,u_db559b7c0c7a4d358ae7138458e0837a,phase_6,reply,e_2b7db6a6e5194cd7b6ae5a004d70cc4d,u_858f50773640498ca3d941c3404bf0d7,disgust,,,[],,personal,personal,,false,[],[]
e_982480da7af94915b7eddbc8c4e05926,2022-01-12T09:00Z,u_daafdda538434e568a22ba367353feb2,phase_6,post,,,fear,,,[],,personal,personal,,false,[],[]
e_6cf4a49217954a378cd9ce0a033c9525,2022-01-12T08:02Z,u_fef29329c8634489a43fd7099b18b703,phase_6,retweet,e_7bac2de09dbd4488ac5e7749e10135d0,u_27251098278b4fee856222254398bd11,neutral,,,[],,unknown,personal,,,[],[]
e_836b547a76a1497cace1cc870a82bc53,2022-01-12T07:05Z,u_5b803c6d908a437993a40fc6f97e5ab7,phase_6,retweet,e_320e4564f47340f79c1a922d829e0faf,u_863530fb98204d70a8cc78c3cd84719f,anticipation,,,[],,personal,personal,,,[],[]
e_7be5b63782de49a89faf9de4b0c65131,2022-01-12T04:32Z,u_d4ce64b10b194c6286eda4a184841fbf,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_940c17aff1a548f39216ef4bac8c1aae,2022-01-12T01:18Z,u_2ae1ef749d9f46e5bc6033dcf791b145,phase_6,retweet,e_6b0a2c6563424e118a64419b6b43a625,u_be6494093d024182bf7675b377a17af2,anger,,,[],,personal,personal,,,[],[]
